itag	length	all	up	down
Solyc00g094540.1.1	330	0	0	0
Solyc00g094550.1.1	234	0	0	0
Solyc00g095760.1.1	1002	0	0	0
Solyc00g096460.1.1	222	1	0	1
Solyc00g097960.1.1	441	0	0	0
Solyc00g098560.2.1	738	0	0	0
Solyc00g099580.1.1	1380	0	0	0
Solyc00g102000.1.1	195	1	1	0
Solyc00g105750.1.1	1500	0	0	0
Solyc00g110870.2.1	1314	0	0	0
Solyc00g112180.1.1	153	0	0	0
Solyc00g112190.2.1	519	0	0	0
Solyc00g117450.2.1	573	0	0	0
Solyc00g118680.2.1	99	0	0	0
Solyc00g118690.1.1	261	0	0	0
Solyc00g121730.1.1	1737	1	0	1
Solyc00g125980.1.1	204	0	0	0
Solyc00g125990.1.1	645	0	0	0
Solyc00g126000.1.1	153	0	0	0
Solyc00g126010.1.1	174	0	0	0
Solyc00g127660.2.1	135	0	0	0
Solyc00g127670.1.1	477	0	0	0
Solyc00g127870.2.1	507	0	0	0
Solyc00g128870.2.1	462	0	0	0
Solyc00g131710.1.1	1530	1	0	1
Solyc00g140060.2.1	660	0	0	0
Solyc00g142160.1.1	318	1	1	0
Solyc00g142170.2.1	918	1	1	0
Solyc00g143770.1.1	234	0	0	0
Solyc00g147770.1.1	1182	0	0	0
Solyc00g153980.1.1	168	0	0	0
Solyc00g156980.2.1	480	0	0	0
Solyc00g160780.2.1	279	0	0	0
Solyc00g164680.1.1	1473	0	0	0
Solyc00g166690.1.1	585	1	0	1
Solyc00g170200.1.1	384	0	0	0
Solyc00g170210.2.1	117	0	0	0
Solyc00g171810.2.1	1029	0	0	0
Solyc00g179240.1.1	165	0	0	0
Solyc00g180440.1.1	255	0	0	0
Solyc00g181240.1.1	180	0	0	0
Solyc00g184350.2.1	372	0	0	0
Solyc00g186050.1.1	540	1	0	1
Solyc00g187050.2.1	1527	0	0	0
Solyc00g188850.2.1	618	0	0	0
Solyc00g195360.1.1	798	1	0	1
Solyc00g196060.2.1	1062	0	0	0
Solyc00g201160.2.1	792	0	0	0
Solyc00g203660.1.1	591	0	0	0
Solyc00g206460.1.1	771	0	0	0
Solyc00g209460.1.1	333	0	0	0
Solyc00g212260.1.1	2151	0	0	0
Solyc00g227860.1.1	1413	0	0	0
Solyc00g230060.1.1	879	0	0	0
Solyc00g230070.1.1	264	0	0	0
Solyc00g230080.1.1	357	0	0	0
Solyc00g231780.1.1	324	0	0	0
Solyc00g244280.1.1	183	0	0	0
Solyc00g244290.1.1	492	0	0	0
Solyc00g244300.1.1	258	0	0	0
Solyc00g245200.1.1	186	0	0	0
Solyc00g249900.2.1	519	0	0	0
Solyc00g272810.1.1	726	0	0	0
Solyc00g277510.1.1	201	0	0	0
Solyc00g281110.1.1	369	0	0	0
Solyc00g282510.1.1	1776	0	0	0
Solyc00g304030.1.1	3243	0	0	0
Solyc00g309530.1.1	159	0	0	0
Solyc00g311230.2.1	441	0	0	0
Solyc00g313030.1.1	162	0	0	0
Solyc00g318830.1.1	558	0	0	0
Solyc00g320430.1.1	180	0	0	0
Solyc00g323130.2.1	633	1	0	1
Solyc01g005000.2.1	1455	0	0	0
Solyc01g005010.2.1	753	0	0	0
Solyc01g005020.2.1	3456	0	0	0
Solyc01g005030.2.1	3459	0	0	0
Solyc01g005060.2.1	1020	0	0	0
Solyc01g005070.2.1	1197	0	0	0
Solyc01g005080.2.1	1680	1	0	1
Solyc01g005100.2.1	1209	0	0	0
Solyc01g005110.2.1	123	0	0	0
Solyc01g005120.2.1	1008	0	0	0
Solyc01g005130.2.1	753	0	0	0
Solyc01g005210.2.1	2574	0	0	0
Solyc01g005240.2.1	1698	0	0	0
Solyc01g005250.2.1	1146	0	0	0
Solyc01g005260.2.1	723	0	0	0
Solyc01g005270.2.1	723	0	0	0
Solyc01g005280.2.1	723	1	0	1
Solyc01g005290.2.1	597	0	0	0
Solyc01g005300.2.1	1824	0	0	0
Solyc01g005330.2.1	1869	0	0	0
Solyc01g005340.2.1	1572	0	0	0
Solyc01g005370.2.1	519	0	0	0
Solyc01g005380.2.1	1416	0	0	0
Solyc01g005410.2.1	576	0	0	0
Solyc01g005430.2.1	1371	0	0	0
Solyc01g005440.2.1	930	0	0	0
Solyc01g005450.2.1	924	0	0	0
Solyc01g005460.2.1	393	0	0	0
Solyc01g005480.2.1	1131	0	0	0
Solyc01g005490.2.1	1320	0	0	0
Solyc01g005520.2.1	993	0	0	0
Solyc01g005530.2.1	378	0	0	0
Solyc01g005540.2.1	1755	0	0	0
Solyc01g005550.2.1	1281	0	0	0
Solyc01g005560.2.1	1248	0	0	0
Solyc01g005570.2.1	285	0	0	0
Solyc01g005580.2.1	438	0	0	0
Solyc01g005600.2.1	903	0	0	0
Solyc01g005610.2.1	1110	0	0	0
Solyc01g005620.2.1	894	0	0	0
Solyc01g005640.2.1	906	0	0	0
Solyc01g005670.2.1	870	0	0	0
Solyc01g005690.2.1	1332	1	1	0
Solyc01g005700.2.1	2253	0	0	0
Solyc01g005780.1.1	2307	0	0	0
Solyc01g005790.1.1	1377	0	0	0
Solyc01g005800.2.1	1986	0	0	0
Solyc01g005810.2.1	909	0	0	0
Solyc01g005820.2.1	759	0	0	0
Solyc01g005830.2.1	804	0	0	0
Solyc01g005840.2.1	546	0	0	0
Solyc01g005850.1.1	891	0	0	0
Solyc01g005880.1.1	1044	0	0	0
Solyc01g005910.2.1	801	0	0	0
Solyc01g005920.2.1	1428	0	0	0
Solyc01g005930.2.1	1218	0	0	0
Solyc01g005940.2.1	1155	0	0	0
Solyc01g005950.2.1	942	0	0	0
Solyc01g005960.2.1	1815	0	0	0
Solyc01g005970.2.1	1314	0	0	0
Solyc01g005980.2.1	759	0	0	0
Solyc01g005990.2.1	582	0	0	0
Solyc01g006000.2.1	1545	0	0	0
Solyc01g006010.2.1	2412	0	0	0
Solyc01g006020.2.1	750	0	0	0
Solyc01g006030.2.1	1020	0	0	0
Solyc01g006040.2.1	1668	0	0	0
Solyc01g006090.2.1	849	0	0	0
Solyc01g006100.2.1	2427	0	0	0
Solyc01g006110.2.1	1218	1	0	1
Solyc01g006120.2.1	2049	0	0	0
Solyc01g006130.2.1	687	0	0	0
Solyc01g006140.2.1	1719	0	0	0
Solyc01g006150.2.1	1218	0	0	0
Solyc01g006160.2.1	264	0	0	0
Solyc01g006170.2.1	867	0	0	0
Solyc01g006180.2.1	1803	0	0	0
Solyc01g006190.2.1	927	0	0	0
Solyc01g006210.2.1	939	0	0	0
Solyc01g006220.2.1	1356	0	0	0
Solyc01g006230.2.1	1176	0	0	0
Solyc01g006250.1.1	225	0	0	0
Solyc01g006260.2.1	435	1	1	0
Solyc01g006280.2.1	1905	0	0	0
Solyc01g006320.2.1	597	0	0	0
Solyc01g006330.2.1	1197	0	0	0
Solyc01g006340.2.1	1545	0	0	0
Solyc01g006350.2.1	3372	0	0	0
Solyc01g006360.2.1	2292	0	0	0
Solyc01g006370.2.1	5847	0	0	0
Solyc01g006390.2.1	414	0	0	0
Solyc01g006400.2.1	756	0	0	0
Solyc01g006430.2.1	1152	1	0	1
Solyc01g006450.2.1	1179	0	0	0
Solyc01g006480.2.1	711	0	0	0
Solyc01g006490.2.1	1725	1	1	0
Solyc01g006500.2.1	1467	0	0	0
Solyc01g006510.2.1	1068	0	0	0
Solyc01g006630.2.1	1080	0	0	0
Solyc01g006650.1.1	1983	0	0	0
Solyc01g006670.2.1	1461	0	0	0
Solyc01g006680.2.1	1197	0	0	0
Solyc01g006690.2.1	1827	0	0	0
Solyc01g006700.2.1	1908	0	0	0
Solyc01g006710.2.1	3495	0	0	0
Solyc01g006740.2.1	1308	1	1	0
Solyc01g006790.2.1	480	0	0	0
Solyc01g006800.2.1	1170	0	0	0
Solyc01g006810.2.1	960	0	0	0
Solyc01g006830.2.1	1335	0	0	0
Solyc01g006850.1.1	3294	0	0	0
Solyc01g006860.2.1	804	0	0	0
Solyc01g006870.2.1	1848	0	0	0
Solyc01g006880.2.1	4791	0	0	0
Solyc01g006890.2.1	2298	0	0	0
Solyc01g006900.2.1	480	0	0	0
Solyc01g006920.2.1	2547	0	0	0
Solyc01g006940.2.1	987	0	0	0
Solyc01g006960.2.1	3807	0	0	0
Solyc01g006970.2.1	3096	0	0	0
Solyc01g006980.2.1	1080	0	0	0
Solyc01g006990.2.1	1644	0	0	0
Solyc01g007060.2.1	1323	0	0	0
Solyc01g007070.2.1	2103	0	0	0
Solyc01g007080.2.1	1428	0	0	0
Solyc01g007100.2.1	2331	0	0	0
Solyc01g007110.2.1	777	0	0	0
Solyc01g007120.2.1	1374	0	0	0
Solyc01g007130.2.1	2892	0	0	0
Solyc01g007140.2.1	2643	0	0	0
Solyc01g007150.2.1	2850	0	0	0
Solyc01g007160.2.1	1074	0	0	0
Solyc01g007170.2.1	2853	0	0	0
Solyc01g007180.2.1	420	0	0	0
Solyc01g007200.2.1	675	0	0	0
Solyc01g007230.2.1	690	1	0	1
Solyc01g007240.2.1	612	0	0	0
Solyc01g007250.2.1	882	0	0	0
Solyc01g007260.2.1	2541	0	0	0
Solyc01g007280.2.1	606	0	0	0
Solyc01g007290.1.1	477	0	0	0
Solyc01g007300.1.1	678	0	0	0
Solyc01g007310.2.1	363	0	0	0
Solyc01g007320.2.1	1830	0	0	0
Solyc01g007330.2.1	1434	0	0	0
Solyc01g007340.2.1	1524	0	0	0
Solyc01g007350.2.1	219	0	0	0
Solyc01g007360.2.1	555	0	0	0
Solyc01g007370.2.1	690	0	0	0
Solyc01g007380.1.1	963	0	0	0
Solyc01g007390.1.1	90	0	0	0
Solyc01g007400.1.1	126	0	0	0
Solyc01g007410.2.1	120	0	0	0
Solyc01g007420.2.1	195	0	0	0
Solyc01g007430.2.1	141	0	0	0
Solyc01g007440.1.1	138	0	0	0
Solyc01g007450.1.1	201	0	0	0
Solyc01g007460.2.1	306	0	0	0
Solyc01g007470.1.1	387	0	0	0
Solyc01g007480.1.1	243	0	0	0
Solyc01g007490.2.1	621	0	0	0
Solyc01g007500.2.1	1662	0	0	0
Solyc01g007510.1.1	90	0	0	0
Solyc01g007520.2.1	222	0	0	0
Solyc01g007530.2.1	642	0	0	0
Solyc01g007540.2.1	420	0	0	0
Solyc01g007550.1.1	150	0	0	0
Solyc01g007560.2.1	801	0	0	0
Solyc01g007570.2.1	516	0	0	0
Solyc01g007580.2.1	405	0	0	0
Solyc01g007590.2.1	369	0	0	0
Solyc01g007600.2.1	357	0	0	0
Solyc01g007610.2.1	1059	0	0	0
Solyc01g007620.2.1	150	0	0	0
Solyc01g007630.2.1	1059	0	0	0
Solyc01g007640.2.1	6837	0	0	0
Solyc01g007650.2.1	213	0	0	0
Solyc01g007660.2.1	1542	0	0	0
Solyc01g007670.2.1	468	0	0	0
Solyc01g007680.1.1	396	0	0	0
Solyc01g007690.2.1	99	0	0	0
Solyc01g007700.2.1	276	0	0	0
Solyc01g007710.2.1	246	1	0	1
Solyc01g007720.2.1	255	0	0	0
Solyc01g007730.2.1	249	0	0	0
Solyc01g007740.2.1	804	0	0	0
Solyc01g007750.2.1	954	0	0	0
Solyc01g007760.2.1	1440	0	0	0
Solyc01g007780.2.1	483	0	0	0
Solyc01g007790.2.1	945	0	0	0
Solyc01g007810.1.1	897	0	0	0
Solyc01g007840.2.1	858	0	0	0
Solyc01g007850.2.1	3057	0	0	0
Solyc01g007860.2.1	441	0	0	0
Solyc01g007870.2.1	381	0	0	0
Solyc01g007880.2.1	2346	1	0	1
Solyc01g007890.1.1	1137	1	0	1
Solyc01g007900.2.1	888	0	0	0
Solyc01g007910.2.1	999	0	0	0
Solyc01g007920.2.1	615	0	0	0
Solyc01g007930.2.1	1074	0	0	0
Solyc01g007950.2.1	2661	0	0	0
Solyc01g007990.2.1	1917	0	0	0
Solyc01g008000.2.1	630	0	0	0
Solyc01g008010.2.1	924	0	0	0
Solyc01g008020.2.1	1248	0	0	0
Solyc01g008060.2.1	912	0	0	0
Solyc01g008070.2.1	1299	0	0	0
Solyc01g008080.2.1	261	0	0	0
Solyc01g008090.2.1	261	0	0	0
Solyc01g008100.2.1	654	0	0	0
Solyc01g008110.2.1	1464	0	0	0
Solyc01g008120.2.1	5067	0	0	0
Solyc01g008130.2.1	1719	0	0	0
Solyc01g008140.2.1	2904	1	1	0
Solyc01g008160.2.1	963	0	0	0
Solyc01g008170.2.1	2121	0	0	0
Solyc01g008180.2.1	1569	0	0	0
Solyc01g008190.2.1	654	0	0	0
Solyc01g008200.2.1	327	0	0	0
Solyc01g008210.2.1	579	0	0	0
Solyc01g008220.2.1	582	0	0	0
Solyc01g008230.2.1	750	0	0	0
Solyc01g008250.2.1	549	0	0	0
Solyc01g008260.2.1	495	0	0	0
Solyc01g008270.2.1	444	0	0	0
Solyc01g008280.2.1	1143	0	0	0
Solyc01g008290.2.1	1374	0	0	0
Solyc01g008310.2.1	1731	1	1	0
Solyc01g008320.2.1	2784	0	0	0
Solyc01g008330.2.1	1611	0	0	0
Solyc01g008340.2.1	753	0	0	0
Solyc01g008360.2.1	372	0	0	0
Solyc01g008370.2.1	933	0	0	0
Solyc01g008400.2.1	192	0	0	0
Solyc01g008440.2.1	1602	0	0	0
Solyc01g008460.2.1	624	0	0	0
Solyc01g008470.2.1	1080	0	0	0
Solyc01g008480.2.1	1776	0	0	0
Solyc01g008490.2.1	939	0	0	0
Solyc01g008520.2.1	1017	0	0	0
Solyc01g008530.2.1	987	1	1	0
Solyc01g008550.2.1	963	0	0	0
Solyc01g008560.2.1	1596	0	0	0
Solyc01g008600.2.1	1959	0	0	0
Solyc01g008660.2.1	1035	0	0	0
Solyc01g008700.2.1	900	0	0	0
Solyc01g008730.2.1	984	0	0	0
Solyc01g008750.1.1	2532	0	0	0
Solyc01g008760.2.1	633	0	0	0
Solyc01g008770.2.1	2604	0	0	0
Solyc01g008780.2.1	723	0	0	0
Solyc01g008790.2.1	1344	0	0	0
Solyc01g008800.1.1	4008	1	0	1
Solyc01g008810.2.1	717	0	0	0
Solyc01g008820.2.1	1017	0	0	0
Solyc01g008830.1.1	1719	0	0	0
Solyc01g008840.2.1	1320	0	0	0
Solyc01g008850.2.1	1317	0	0	0
Solyc01g008890.2.1	912	0	0	0
Solyc01g008900.2.1	1329	0	0	0
Solyc01g008910.2.1	1431	0	0	0
Solyc01g008920.2.1	981	0	0	0
Solyc01g008930.2.1	1029	1	0	1
Solyc01g008950.2.1	450	0	0	0
Solyc01g008960.2.1	2730	0	0	0
Solyc01g008970.2.1	1131	0	0	0
Solyc01g008980.2.1	441	0	0	0
Solyc01g008990.2.1	741	0	0	0
Solyc01g009000.2.1	957	0	0	0
Solyc01g009010.2.1	1203	0	0	0
Solyc01g009020.2.1	342	0	0	0
Solyc01g009030.2.1	1788	0	0	0
Solyc01g009040.2.1	1308	0	0	0
Solyc01g009050.2.1	2013	0	0	0
Solyc01g009060.2.1	1218	0	0	0
Solyc01g009070.2.1	1614	0	0	0
Solyc01g009080.2.1	609	0	0	0
Solyc01g009090.2.1	2247	0	0	0
Solyc01g009100.2.1	339	0	0	0
Solyc01g009110.2.1	798	0	0	0
Solyc01g009150.2.1	684	0	0	0
Solyc01g009170.2.1	1845	0	0	0
Solyc01g009180.2.1	2454	0	0	0
Solyc01g009230.2.1	4086	0	0	0
Solyc01g009240.2.1	1905	0	0	0
Solyc01g009280.2.1	2961	0	0	0
Solyc01g009290.2.1	1320	0	0	0
Solyc01g009300.2.1	2994	0	0	0
Solyc01g009310.2.1	1305	0	0	0
Solyc01g009340.2.1	1212	1	0	1
Solyc01g009380.2.1	1698	1	1	0
Solyc01g009390.2.1	1107	0	0	0
Solyc01g009420.2.1	1161	0	0	0
Solyc01g009430.2.1	573	0	0	0
Solyc01g009450.2.1	552	0	0	0
Solyc01g009500.2.1	1035	0	0	0
Solyc01g009520.2.1	651	0	0	0
Solyc01g009540.1.1	288	0	0	0
Solyc01g009550.1.1	264	0	0	0
Solyc01g009570.2.1	150	0	0	0
Solyc01g009610.2.1	318	0	0	0
Solyc01g009620.2.1	603	0	0	0
Solyc01g009630.2.1	603	0	0	0
Solyc01g009670.2.1	1545	0	0	0
Solyc01g009730.1.1	1005	0	0	0
Solyc01g009750.2.1	336	0	0	0
Solyc01g009760.2.1	705	0	0	0
Solyc01g009770.2.1	738	0	0	0
Solyc01g009780.2.1	459	0	0	0
Solyc01g009800.1.1	1698	0	0	0
Solyc01g009820.2.1	1899	0	0	0
Solyc01g009850.2.1	228	0	0	0
Solyc01g009860.2.1	819	0	0	0
Solyc01g009900.2.1	363	1	0	1
Solyc01g009910.1.1	363	0	0	0
Solyc01g009970.2.1	1038	0	0	0
Solyc01g009990.2.1	747	0	0	0
Solyc01g010000.2.1	1350	1	0	1
Solyc01g010020.2.1	486	0	0	0
Solyc01g010030.2.1	2193	0	0	0
Solyc01g010040.2.1	453	0	0	0
Solyc01g010050.2.1	1095	0	0	0
Solyc01g010130.2.1	1614	0	0	0
Solyc01g010150.2.1	1347	0	0	0
Solyc01g010180.2.1	522	0	0	0
Solyc01g010190.2.1	651	0	0	0
Solyc01g010200.2.1	486	0	0	0
Solyc01g010210.1.1	558	0	0	0
Solyc01g010220.2.1	537	0	0	0
Solyc01g010250.2.1	801	0	0	0
Solyc01g010270.2.1	315	1	0	1
Solyc01g010290.2.1	1224	0	0	0
Solyc01g010310.2.1	570	0	0	0
Solyc01g010340.1.1	1440	0	0	0
Solyc01g010370.2.1	1851	0	0	0
Solyc01g010390.2.1	1524	1	0	1
Solyc01g010430.2.1	912	0	0	0
Solyc01g010440.2.1	1329	0	0	0
Solyc01g010460.2.1	1143	0	0	0
Solyc01g010470.2.1	558	0	0	0
Solyc01g010510.2.1	1791	0	0	0
Solyc01g010520.2.1	1077	0	0	0
Solyc01g010540.2.1	594	0	0	0
Solyc01g010570.2.1	945	0	0	0
Solyc01g010580.2.1	594	0	0	0
Solyc01g010590.2.1	687	0	0	0
Solyc01g010640.2.1	618	0	0	0
Solyc01g010650.2.1	1002	0	0	0
Solyc01g010660.2.1	1260	0	0	0
Solyc01g010680.1.1	927	0	0	0
Solyc01g010700.2.1	1335	0	0	0
Solyc01g010710.2.1	1473	0	0	0
Solyc01g010750.2.1	984	0	0	0
Solyc01g010760.2.1	831	0	0	0
Solyc01g010770.2.1	819	0	0	0
Solyc01g010780.2.1	1446	0	0	0
Solyc01g010810.2.1	612	0	0	0
Solyc01g010820.2.1	2205	0	0	0
Solyc01g010830.2.1	777	0	0	0
Solyc01g010860.2.1	801	0	0	0
Solyc01g010870.2.1	1824	0	0	0
Solyc01g010880.2.1	915	0	0	0
Solyc01g010910.1.1	1005	0	0	0
Solyc01g010920.1.1	513	0	0	0
Solyc01g010930.2.1	804	0	0	0
Solyc01g010940.2.1	651	0	0	0
Solyc01g010950.2.1	1293	0	0	0
Solyc01g010970.2.1	3003	0	0	0
Solyc01g010990.2.1	1092	0	0	0
Solyc01g011000.2.1	480	0	0	0
Solyc01g011020.1.1	159	0	0	0
Solyc01g011030.2.1	804	0	0	0
Solyc01g011040.2.1	996	0	0	0
Solyc01g011060.1.1	267	0	0	0
Solyc01g011090.2.1	750	0	0	0
Solyc01g011100.2.1	3018	0	0	0
Solyc01g011200.2.1	567	0	0	0
Solyc01g011340.2.1	921	0	0	0
Solyc01g011350.2.1	918	0	0	0
Solyc01g011410.1.1	222	0	0	0
Solyc01g011450.1.1	0	1	0	1
Solyc01g011480.1.1	258	1	0	1
Solyc01g011510.2.1	1503	0	0	0
Solyc01g014080.1.1	318	0	0	0
Solyc01g014110.2.1	231	0	0	0
Solyc01g014120.2.1	1032	0	0	0
Solyc01g014180.2.1	516	0	0	0
Solyc01g014200.1.1	174	0	0	0
Solyc01g014230.2.1	2436	1	0	1
Solyc01g014250.2.1	159	0	0	0
Solyc01g014280.2.1	960	0	0	0
Solyc01g014290.1.1	438	0	0	0
Solyc01g014470.1.1	432	0	0	0
Solyc01g014480.2.1	2028	0	0	0
Solyc01g014490.2.1	2019	0	0	0
Solyc01g014500.1.1	588	0	0	0
Solyc01g014560.2.1	1245	0	0	0
Solyc01g014620.1.1	375	0	0	0
Solyc01g014850.2.1	753	0	0	0
Solyc01g014990.1.1	585	0	0	0
Solyc01g015000.2.1	639	0	0	0
Solyc01g015020.2.1	1464	0	0	0
Solyc01g015140.1.1	264	0	0	0
Solyc01g015220.1.1	486	1	0	1
Solyc01g016330.1.1	879	0	0	0
Solyc01g016410.2.1	714	0	0	0
Solyc01g016470.2.1	156	0	0	0
Solyc01g016550.1.1	258	0	0	0
Solyc01g016560.1.1	375	1	0	1
Solyc01g016570.1.1	567	0	0	0
Solyc01g016630.1.1	474	0	0	0
Solyc01g016710.1.1	573	0	0	0
Solyc01g016950.1.1	891	1	0	1
Solyc01g017050.1.1	318	0	0	0
Solyc01g017070.1.1	303	0	0	0
Solyc01g017080.1.1	735	0	0	0
Solyc01g017090.2.1	591	0	0	0
Solyc01g017100.1.1	369	0	0	0
Solyc01g017110.1.1	1170	0	0	0
Solyc01g017130.1.1	231	0	0	0
Solyc01g017140.1.1	1014	0	0	0
Solyc01g017170.1.1	414	0	0	0
Solyc01g017200.1.1	342	0	0	0
Solyc01g017220.1.1	291	0	0	0
Solyc01g017230.1.1	627	0	0	0
Solyc01g017240.1.1	357	0	0	0
Solyc01g017250.1.1	348	0	0	0
Solyc01g017270.1.1	189	0	0	0
Solyc01g017300.1.1	837	0	0	0
Solyc01g017320.1.1	207	0	0	0
Solyc01g017330.1.1	417	1	0	1
Solyc01g017340.1.1	699	0	0	0
Solyc01g017350.1.1	441	0	0	0
Solyc01g017360.1.1	282	1	0	1
Solyc01g017370.1.1	498	0	0	0
Solyc01g017380.1.1	258	0	0	0
Solyc01g017390.1.1	186	0	0	0
Solyc01g017400.1.1	654	0	0	0
