itag	up	down	all	length
53	Solyc00g009110.2.1	0	0	0	1959
54	Solyc00g009120.2.1	0	0	0	645
55	Solyc00g009130.2.1	0	0	0	246
56	Solyc00g009140.2.1	0	0	0	645
57	Solyc00g009760.2.1	0	0	0	447
58	Solyc00g009770.1.1	0	0	0	237
59	Solyc00g010530.1.1	0	0	0	177
60	Solyc00g010760.1.1	0	0	0	699
61	Solyc00g010770.1.1	0	0	0	711
62	Solyc00g011150.1.1	0	0	0	207
63	Solyc00g011160.1.1	0	0	0	105
64	Solyc00g011170.1.1	0	0	0	219
65	Solyc00g011880.2.1	0	0	0	471
66	Solyc00g011890.2.1	0	0	0	3111
67	Solyc00g012430.1.1	0	0	0	177
68	Solyc00g012440.1.1	0	0	0	381
69	Solyc00g013100.1.1	0	0	0	237
70	Solyc00g013110.1.1	0	0	0	267
71	Solyc00g013120.2.1	0	0	0	420
72	Solyc00g013130.2.1	0	0	0	903
73	Solyc00g013140.1.1	0	0	0	1386
74	Solyc00g013150.1.1	0	0	0	294
75	Solyc00g013160.1.1	0	0	0	513
76	Solyc00g013170.1.1	0	0	0	210
77	Solyc00g013180.1.1	0	1	1	531
78	Solyc00g014790.2.1	0	0	0	324
79	Solyc00g014800.1.1	0	0	0	492
80	Solyc00g014820.2.1	0	0	0	516
81	Solyc00g014830.2.1	0	1	1	1185
82	Solyc00g014840.1.1	0	0	0	342
83	Solyc00g014850.1.1	0	0	0	312
84	Solyc00g015600.1.1	0	0	0	156
85	Solyc00g018970.1.1	0	0	0	153
86	Solyc00g019730.1.1	0	0	0	441
87	Solyc00g019740.1.1	0	0	0	471
88	Solyc00g019750.1.1	0	0	0	210
89	Solyc00g019950.1.1	0	0	0	573
90	Solyc00g019960.1.1	0	0	0	231
91	Solyc00g019970.2.1	0	0	0	381
92	Solyc00g019980.2.1	0	0	0	528
93	Solyc00g019990.1.1	0	0	0	216
94	Solyc00g020000.1.1	0	0	0	174
95	Solyc00g020010.1.1	0	0	0	228
96	Solyc00g020020.2.1	0	0	0	501
97	Solyc00g020030.1.1	0	0	0	201
98	Solyc00g020040.1.1	0	0	0	621
99	Solyc00g021630.1.1	0	0	0	654
100	Solyc00g021640.2.1	0	0	0	1224
101	Solyc00g021650.1.1	0	0	0	231
102	Solyc00g022070.1.1	0	0	0	153
103	Solyc00g022080.1.1	0	0	0	213
104	Solyc00g022090.1.1	0	0	0	354
105	Solyc00g022100.1.1	0	0	0	480
106	Solyc00g022110.2.1	0	0	0	789
107	Solyc00g023570.1.1	0	0	0	330
108	Solyc00g023580.1.1	0	0	0	258
109	Solyc00g023590.2.1	0	0	0	672
110	Solyc00g023600.1.1	0	0	0	267
111	Solyc00g023700.2.1	0	0	0	363
112	Solyc00g023710.1.1	0	0	0	702
113	Solyc00g024150.2.1	0	0	0	633
114	Solyc00g025290.1.1	0	0	0	486
115	Solyc00g026160.2.1	0	1	1	1335
116	Solyc00g027120.1.1	0	0	0	870
117	Solyc00g027140.1.1	0	0	0	1758
118	Solyc00g027770.2.1	0	0	0	954
119	Solyc00g030100.1.1	0	0	0	174
120	Solyc00g030520.2.1	0	0	0	726
121	Solyc00g036520.1.1	0	0	0	558
122	Solyc00g036540.1.1	0	0	0	282
123	Solyc00g039990.2.1	0	0	0	633
124	Solyc00g042640.1.1	0	0	0	2259
125	Solyc00g042840.1.1	0	0	0	1137
126	Solyc00g044350.2.1	0	0	0	240
127	Solyc00g047190.1.1	0	0	0	318
128	Solyc00g047200.1.1	0	0	0	234
129	Solyc00g047700.2.1	0	0	0	489
130	Solyc00g049210.1.1	0	0	0	1770
131	Solyc00g049220.1.1	0	0	0	207
132	Solyc00g050130.1.1	0	0	0	1383
133	Solyc00g050430.2.1	0	0	0	1032
134	Solyc00g052430.2.1	0	0	0	1140
135	Solyc00g052540.1.1	0	0	0	321
136	Solyc00g056680.1.1	0	0	0	1614
137	Solyc00g059100.2.1	0	0	0	978
138	Solyc00g068970.2.1	0	0	0	654
139	Solyc00g068980.1.1	0	0	0	165
140	Solyc00g069880.2.1	0	0	0	684
141	Solyc00g072100.2.1	0	0	0	594
142	Solyc00g082150.2.1	0	0	0	1209
143	Solyc00g082550.1.1	0	0	0	510
144	Solyc00g085070.2.1	0	0	0	1392
145	Solyc00g090870.2.1	0	0	0	369
146	Solyc00g091170.2.1	0	0	0	1128
147	Solyc00g093300.1.1	0	0	0	750
148	Solyc00g094520.1.1	0	0	0	186
149	Solyc00g094530.1.1	0	0	0	390
150	Solyc00g094540.1.1	0	0	0	330
151	Solyc00g094550.1.1	0	0	0	234
152	Solyc00g095760.1.1	0	0	0	1002
153	Solyc00g096460.1.1	0	0	0	222
154	Solyc00g097960.1.1	0	0	0	441
155	Solyc00g098560.2.1	0	0	0	738
156	Solyc00g099580.1.1	0	0	0	1380
157	Solyc00g102000.1.1	0	0	0	195
158	Solyc00g105750.1.1	0	0	0	1500
159	Solyc00g110870.2.1	0	0	0	1314
160	Solyc00g112180.1.1	0	0	0	153
161	Solyc00g112190.2.1	0	0	0	519
162	Solyc00g117450.2.1	0	0	0	573
163	Solyc00g118680.2.1	0	0	0	99
164	Solyc00g118690.1.1	0	0	0	261
165	Solyc00g121730.1.1	0	0	0	1737
166	Solyc00g125980.1.1	0	0	0	204
167	Solyc00g125990.1.1	0	0	0	645
168	Solyc00g126000.1.1	0	0	0	153
169	Solyc00g126010.1.1	0	0	0	174
170	Solyc00g127660.2.1	0	0	0	135
171	Solyc00g127670.1.1	0	0	0	477
172	Solyc00g127870.2.1	0	0	0	507
173	Solyc00g128870.2.1	0	0	0	462
174	Solyc00g131710.1.1	0	0	0	1530
175	Solyc00g140060.2.1	0	0	0	660
176	Solyc00g142160.1.1	0	0	0	318
177	Solyc00g142170.2.1	0	0	0	918
178	Solyc00g143770.1.1	0	0	0	234
179	Solyc00g147770.1.1	0	0	0	1182
180	Solyc00g153980.1.1	0	0	0	168
181	Solyc00g156980.2.1	0	0	0	480
182	Solyc00g160780.2.1	0	0	0	279
183	Solyc00g164680.1.1	0	0	0	1473
184	Solyc00g166690.1.1	0	0	0	585
185	Solyc00g170200.1.1	0	0	0	384
186	Solyc00g170210.2.1	0	0	0	117
187	Solyc00g171810.2.1	0	0	0	1029
188	Solyc00g179240.1.1	0	0	0	165
189	Solyc00g180440.1.1	0	0	0	255
190	Solyc00g181240.1.1	0	0	0	180
191	Solyc00g184350.2.1	0	0	0	372
192	Solyc00g186050.1.1	0	0	0	540
193	Solyc00g187050.2.1	0	1	1	1527
194	Solyc00g188850.2.1	0	0	0	618
195	Solyc00g195360.1.1	0	0	0	798
196	Solyc00g196060.2.1	0	0	0	1062
197	Solyc00g201160.2.1	0	0	0	792
198	Solyc00g203660.1.1	0	0	0	591
199	Solyc00g206460.1.1	0	0	0	771
200	Solyc00g209460.1.1	0	0	0	333
201	Solyc00g212260.1.1	0	0	0	2151
202	Solyc00g227860.1.1	0	0	0	1413
203	Solyc00g230060.1.1	0	0	0	879
204	Solyc00g230070.1.1	0	0	0	264
205	Solyc00g230080.1.1	0	0	0	357
206	Solyc00g231780.1.1	0	0	0	324
207	Solyc00g244280.1.1	0	0	0	183
208	Solyc00g244290.1.1	0	0	0	492
209	Solyc00g244300.1.1	0	0	0	258
210	Solyc00g245200.1.1	0	0	0	186
211	Solyc00g249900.2.1	0	0	0	519
212	Solyc00g272810.1.1	0	0	0	726
213	Solyc00g277510.1.1	0	1	1	201
214	Solyc00g281110.1.1	0	0	0	369
215	Solyc00g282510.1.1	0	1	1	1776
216	Solyc00g304030.1.1	0	0	0	3243
217	Solyc00g309530.1.1	0	0	0	159
218	Solyc00g311230.2.1	0	0	0	441
219	Solyc00g313030.1.1	0	0	0	162
220	Solyc00g318830.1.1	0	0	0	558
221	Solyc00g320430.1.1	0	0	0	180
222	Solyc00g323130.2.1	0	0	0	633
223	Solyc01g005000.2.1	0	0	0	1455
224	Solyc01g005010.2.1	0	0	0	753
225	Solyc01g005020.2.1	0	0	0	3456
226	Solyc01g005030.2.1	0	0	0	3459
227	Solyc01g005060.2.1	0	0	0	1020
228	Solyc01g005070.2.1	0	0	0	1197
229	Solyc01g005080.2.1	0	0	0	1680
230	Solyc01g005100.2.1	0	0	0	1209
231	Solyc01g005110.2.1	0	0	0	123
232	Solyc01g005120.2.1	1	0	1	1008
233	Solyc01g005130.2.1	0	0	0	753
234	Solyc01g005210.2.1	0	0	0	2574
235	Solyc01g005240.2.1	0	0	0	1698
236	Solyc01g005250.2.1	0	0	0	1146
237	Solyc01g005260.2.1	0	0	0	723
238	Solyc01g005270.2.1	0	1	1	723
239	Solyc01g005280.2.1	0	0	0	723
240	Solyc01g005290.2.1	0	0	0	597
241	Solyc01g005300.2.1	0	0	0	1824
242	Solyc01g005330.2.1	0	0	0	1869
243	Solyc01g005340.2.1	0	0	0	1572
244	Solyc01g005370.2.1	0	0	0	519
245	Solyc01g005380.2.1	0	0	0	1416
246	Solyc01g005410.2.1	0	0	0	576
247	Solyc01g005430.2.1	0	0	0	1371
248	Solyc01g005440.2.1	0	0	0	930
249	Solyc01g005450.2.1	0	0	0	924
250	Solyc01g005460.2.1	0	0	0	393
251	Solyc01g005480.2.1	0	0	0	1131
252	Solyc01g005490.2.1	0	0	0	1320
253	Solyc01g005520.2.1	0	0	0	993
254	Solyc01g005530.2.1	0	0	0	378
255	Solyc01g005540.2.1	0	0	0	1755
256	Solyc01g005550.2.1	0	0	0	1281
257	Solyc01g005560.2.1	0	0	0	1248
258	Solyc01g005570.2.1	0	0	0	285
259	Solyc01g005580.2.1	0	0	0	438
260	Solyc01g005600.2.1	0	0	0	903
261	Solyc01g005610.2.1	0	0	0	1110
262	Solyc01g005620.2.1	0	0	0	894
263	Solyc01g005640.2.1	0	0	0	906
264	Solyc01g005670.2.1	0	0	0	870
265	Solyc01g005690.2.1	0	0	0	1332
266	Solyc01g005700.2.1	0	0	0	2253
267	Solyc01g005780.1.1	0	0	0	2307
268	Solyc01g005790.1.1	0	1	1	1377
269	Solyc01g005800.2.1	0	0	0	1986
270	Solyc01g005810.2.1	0	0	0	909
271	Solyc01g005820.2.1	0	0	0	759
272	Solyc01g005830.2.1	0	0	0	804
273	Solyc01g005840.2.1	0	0	0	546
274	Solyc01g005850.1.1	0	0	0	891
275	Solyc01g005880.1.1	0	0	0	1044
276	Solyc01g005910.2.1	1	0	1	801
277	Solyc01g005920.2.1	0	0	0	1428
278	Solyc01g005930.2.1	0	0	0	1218
279	Solyc01g005940.2.1	0	0	0	1155
280	Solyc01g005950.2.1	0	0	0	942
281	Solyc01g005960.2.1	0	0	0	1815
282	Solyc01g005970.2.1	0	0	0	1314
283	Solyc01g005980.2.1	0	0	0	759
284	Solyc01g005990.2.1	0	0	0	582
285	Solyc01g006000.2.1	0	0	0	1545
286	Solyc01g006010.2.1	0	0	0	2412
287	Solyc01g006020.2.1	0	0	0	750
288	Solyc01g006030.2.1	0	0	0	1020
289	Solyc01g006040.2.1	0	0	0	1668
290	Solyc01g006090.2.1	0	0	0	849
291	Solyc01g006100.2.1	0	0	0	2427
292	Solyc01g006110.2.1	0	0	0	1218
293	Solyc01g006120.2.1	0	0	0	2049
294	Solyc01g006130.2.1	0	0	0	687
295	Solyc01g006140.2.1	0	0	0	1719
296	Solyc01g006150.2.1	0	0	0	1218
297	Solyc01g006160.2.1	0	0	0	264
298	Solyc01g006170.2.1	0	0	0	867
299	Solyc01g006180.2.1	0	0	0	1803
300	Solyc01g006190.2.1	0	0	0	927
301	Solyc01g006210.2.1	0	0	0	939
302	Solyc01g006220.2.1	0	0	0	1356
303	Solyc01g006230.2.1	0	0	0	1176
304	Solyc01g006250.1.1	0	0	0	225
305	Solyc01g006260.2.1	0	0	0	435
306	Solyc01g006280.2.1	0	0	0	1905
307	Solyc01g006320.2.1	0	0	0	597
308	Solyc01g006330.2.1	0	0	0	1197
309	Solyc01g006340.2.1	0	1	1	1545
310	Solyc01g006350.2.1	0	0	0	3372
311	Solyc01g006360.2.1	0	0	0	2292
312	Solyc01g006370.2.1	0	0	0	5847
313	Solyc01g006390.2.1	0	0	0	414
314	Solyc01g006400.2.1	0	0	0	756
315	Solyc01g006430.2.1	0	0	0	1152
316	Solyc01g006450.2.1	0	0	0	1179
317	Solyc01g006480.2.1	0	0	0	711
318	Solyc01g006490.2.1	0	1	1	1725
319	Solyc01g006500.2.1	0	0	0	1467
320	Solyc01g006510.2.1	0	0	0	1068
321	Solyc01g006630.2.1	0	0	0	1080
322	Solyc01g006650.1.1	0	0	0	1983
323	Solyc01g006670.2.1	0	0	0	1461
324	Solyc01g006680.2.1	0	0	0	1197
325	Solyc01g006690.2.1	0	0	0	1827
326	Solyc01g006700.2.1	0	0	0	1908
327	Solyc01g006710.2.1	0	0	0	3495
328	Solyc01g006740.2.1	0	0	0	1308
329	Solyc01g006790.2.1	0	0	0	480
330	Solyc01g006800.2.1	0	0	0	1170
331	Solyc01g006810.2.1	0	0	0	960
332	Solyc01g006830.2.1	0	0	0	1335
333	Solyc01g006850.1.1	0	0	0	3294
334	Solyc01g006860.2.1	0	0	0	804
335	Solyc01g006870.2.1	0	0	0	1848
336	Solyc01g006880.2.1	0	0	0	4791
337	Solyc01g006890.2.1	0	0	0	2298
338	Solyc01g006900.2.1	0	0	0	480
339	Solyc01g006920.2.1	0	0	0	2547
340	Solyc01g006940.2.1	0	0	0	987
341	Solyc01g006960.2.1	0	0	0	3807
342	Solyc01g006970.2.1	0	0	0	3096
343	Solyc01g006980.2.1	0	0	0	1080
344	Solyc01g006990.2.1	0	0	0	1644
345	Solyc01g007060.2.1	0	0	0	1323
346	Solyc01g007070.2.1	0	0	0	2103
347	Solyc01g007080.2.1	0	0	0	1428
348	Solyc01g007100.2.1	0	1	1	2331
349	Solyc01g007110.2.1	0	0	0	777
350	Solyc01g007120.2.1	0	0	0	1374
351	Solyc01g007130.2.1	0	0	0	2892
352	Solyc01g007140.2.1	0	0	0	2643
353	Solyc01g007150.2.1	0	0	0	2850
354	Solyc01g007160.2.1	0	0	0	1074
355	Solyc01g007170.2.1	0	0	0	2853
356	Solyc01g007180.2.1	0	0	0	420
357	Solyc01g007200.2.1	0	0	0	675
358	Solyc01g007230.2.1	0	0	0	690
359	Solyc01g007240.2.1	0	0	0	612
360	Solyc01g007250.2.1	0	0	0	882
361	Solyc01g007260.2.1	0	0	0	2541
362	Solyc01g007280.2.1	0	1	1	606
363	Solyc01g007290.1.1	0	1	1	477
364	Solyc01g007300.1.1	0	0	0	678
365	Solyc01g007310.2.1	0	0	0	363
366	Solyc01g007320.2.1	0	0	0	1830
367	Solyc01g007330.2.1	0	1	1	1434
368	Solyc01g007340.2.1	0	0	0	1524
369	Solyc01g007350.2.1	0	0	0	219
370	Solyc01g007360.2.1	0	1	1	555
371	Solyc01g007370.2.1	0	0	0	690
372	Solyc01g007380.1.1	0	1	1	963
373	Solyc01g007390.1.1	0	0	0	90
374	Solyc01g007400.1.1	0	0	0	126
375	Solyc01g007410.2.1	0	0	0	120
376	Solyc01g007420.2.1	0	0	0	195
377	Solyc01g007430.2.1	0	0	0	141
378	Solyc01g007440.1.1	0	0	0	138
379	Solyc01g007450.1.1	0	1	1	201
380	Solyc01g007460.2.1	0	0	0	306
381	Solyc01g007470.1.1	0	0	0	387
382	Solyc01g007480.1.1	0	0	0	243
383	Solyc01g007490.2.1	0	0	0	621
384	Solyc01g007500.2.1	0	1	1	1662
385	Solyc01g007510.1.1	0	0	0	90
386	Solyc01g007520.2.1	0	1	1	222
387	Solyc01g007530.2.1	0	1	1	642
388	Solyc01g007540.2.1	0	1	1	420
389	Solyc01g007550.1.1	0	0	0	150
390	Solyc01g007560.2.1	0	0	0	801
391	Solyc01g007570.2.1	0	0	0	516
392	Solyc01g007580.2.1	0	0	0	405
393	Solyc01g007590.2.1	0	0	0	369
394	Solyc01g007600.2.1	0	0	0	357
395	Solyc01g007610.2.1	0	0	0	1059
396	Solyc01g007620.2.1	0	0	0	150
397	Solyc01g007630.2.1	0	0	0	1059
398	Solyc01g007640.2.1	0	1	1	6837
399	Solyc01g007650.2.1	0	0	0	213
400	Solyc01g007660.2.1	0	1	1	1542
401	Solyc01g007670.2.1	0	0	0	468
402	Solyc01g007680.1.1	0	0	0	396
403	Solyc01g007690.2.1	0	0	0	99
404	Solyc01g007700.2.1	0	0	0	276
405	Solyc01g007710.2.1	0	0	0	246
406	Solyc01g007720.2.1	0	0	0	255
407	Solyc01g007730.2.1	0	0	0	249
408	Solyc01g007740.2.1	0	0	0	804
409	Solyc01g007750.2.1	0	0	0	954
410	Solyc01g007760.2.1	0	0	0	1440
411	Solyc01g007780.2.1	0	0	0	483
412	Solyc01g007790.2.1	0	0	0	945
413	Solyc01g007810.1.1	0	0	0	897
414	Solyc01g007840.2.1	0	0	0	858
415	Solyc01g007850.2.1	0	0	0	3057
416	Solyc01g007860.2.1	0	0	0	441
417	Solyc01g007870.2.1	0	0	0	381
418	Solyc01g007880.2.1	0	0	0	2346
419	Solyc01g007890.1.1	0	0	0	1137
420	Solyc01g007900.2.1	0	0	0	888
421	Solyc01g007910.2.1	0	0	0	999
422	Solyc01g007920.2.1	0	0	0	615
423	Solyc01g007930.2.1	0	0	0	1074
424	Solyc01g007950.2.1	0	0	0	2661
425	Solyc01g007990.2.1	0	0	0	1917
426	Solyc01g008000.2.1	0	0	0	630
427	Solyc01g008010.2.1	0	0	0	924
428	Solyc01g008020.2.1	0	0	0	1248
429	Solyc01g008060.2.1	0	0	0	912
430	Solyc01g008070.2.1	0	0	0	1299
431	Solyc01g008080.2.1	0	0	0	261
432	Solyc01g008090.2.1	0	0	0	261
433	Solyc01g008100.2.1	0	0	0	654
434	Solyc01g008110.2.1	0	1	1	1464
435	Solyc01g008120.2.1	0	0	0	5067
436	Solyc01g008130.2.1	0	0	0	1719
437	Solyc01g008140.2.1	0	0	0	2904
438	Solyc01g008160.2.1	0	0	0	963
439	Solyc01g008170.2.1	0	0	0	2121
440	Solyc01g008180.2.1	0	0	0	1569
441	Solyc01g008190.2.1	0	0	0	654
442	Solyc01g008200.2.1	0	0	0	327
443	Solyc01g008210.2.1	0	0	0	579
444	Solyc01g008220.2.1	0	0	0	582
445	Solyc01g008230.2.1	0	0	0	750
446	Solyc01g008250.2.1	0	0	0	549
447	Solyc01g008260.2.1	0	0	0	495
448	Solyc01g008270.2.1	0	0	0	444
449	Solyc01g008280.2.1	0	0	0	1143
450	Solyc01g008290.2.1	0	0	0	1374
451	Solyc01g008310.2.1	0	0	0	1731
452	Solyc01g008320.2.1	0	0	0	2784
453	Solyc01g008330.2.1	0	0	0	1611
454	Solyc01g008340.2.1	0	0	0	753
455	Solyc01g008360.2.1	0	0	0	372
456	Solyc01g008370.2.1	0	0	0	933
457	Solyc01g008400.2.1	0	0	0	192
458	Solyc01g008440.2.1	0	0	0	1602
459	Solyc01g008460.2.1	0	0	0	624
460	Solyc01g008470.2.1	0	0	0	1080
461	Solyc01g008480.2.1	0	0	0	1776
462	Solyc01g008490.2.1	0	0	0	939
463	Solyc01g008520.2.1	0	0	0	1017
464	Solyc01g008530.2.1	0	0	0	987
465	Solyc01g008550.2.1	0	0	0	963
466	Solyc01g008560.2.1	0	0	0	1596
467	Solyc01g008600.2.1	0	0	0	1959
468	Solyc01g008660.2.1	0	0	0	1035
469	Solyc01g008700.2.1	0	0	0	900
470	Solyc01g008730.2.1	0	0	0	984
471	Solyc01g008750.1.1	0	0	0	2532
472	Solyc01g008760.2.1	0	0	0	633
473	Solyc01g008770.2.1	0	0	0	2604
474	Solyc01g008780.2.1	0	1	1	723
475	Solyc01g008790.2.1	0	0	0	1344
476	Solyc01g008800.1.1	0	0	0	4008
477	Solyc01g008810.2.1	0	0	0	717
478	Solyc01g008820.2.1	0	0	0	1017
479	Solyc01g008830.1.1	0	0	0	1719
480	Solyc01g008840.2.1	0	0	0	1320
481	Solyc01g008850.2.1	0	0	0	1317
482	Solyc01g008890.2.1	0	0	0	912
483	Solyc01g008900.2.1	0	0	0	1329
484	Solyc01g008910.2.1	0	0	0	1431
485	Solyc01g008920.2.1	0	0	0	981
486	Solyc01g008930.2.1	0	0	0	1029
487	Solyc01g008950.2.1	0	0	0	450
488	Solyc01g008960.2.1	0	0	0	2730
489	Solyc01g008970.2.1	0	0	0	1131
490	Solyc01g008980.2.1	0	0	0	441
491	Solyc01g008990.2.1	0	0	0	741
492	Solyc01g009000.2.1	0	0	0	957
493	Solyc01g009010.2.1	0	0	0	1203
494	Solyc01g009020.2.1	0	0	0	342
495	Solyc01g009030.2.1	0	0	0	1788
496	Solyc01g009040.2.1	0	0	0	1308
497	Solyc01g009050.2.1	0	0	0	2013
498	Solyc01g009060.2.1	0	0	0	1218
499	Solyc01g009070.2.1	0	0	0	1614
500	Solyc01g009080.2.1	0	0	0	609
501	Solyc01g009090.2.1	0	0	0	2247
502	Solyc01g009100.2.1	0	0	0	339
503	Solyc01g009110.2.1	0	0	0	798
504	Solyc01g009150.2.1	0	0	0	684
505	Solyc01g009170.2.1	0	0	0	1845
506	Solyc01g009180.2.1	0	0	0	2454
507	Solyc01g009230.2.1	0	0	0	4086
508	Solyc01g009240.2.1	0	0	0	1905
509	Solyc01g009280.2.1	0	0	0	2961
510	Solyc01g009290.2.1	0	0	0	1320
511	Solyc01g009300.2.1	0	0	0	2994
512	Solyc01g009310.2.1	0	0	0	1305
513	Solyc01g009340.2.1	0	0	0	1212
514	Solyc01g009380.2.1	0	0	0	1698
515	Solyc01g009390.2.1	0	0	0	1107
516	Solyc01g009420.2.1	0	0	0	1161
517	Solyc01g009430.2.1	0	0	0	573
518	Solyc01g009450.2.1	0	0	0	552
519	Solyc01g009500.2.1	0	0	0	1035
520	Solyc01g009520.2.1	0	0	0	651
521	Solyc01g009540.1.1	0	0	0	288
522	Solyc01g009550.1.1	0	0	0	264
523	Solyc01g009570.2.1	0	0	0	150
524	Solyc01g009610.2.1	0	0	0	318
525	Solyc01g009620.2.1	0	0	0	603
526	Solyc01g009630.2.1	0	0	0	603
527	Solyc01g009670.2.1	0	0	0	1545
528	Solyc01g009730.1.1	0	0	0	1005
529	Solyc01g009750.2.1	0	0	0	336
530	Solyc01g009760.2.1	0	0	0	705
531	Solyc01g009770.2.1	0	0	0	738
532	Solyc01g009780.2.1	0	0	0	459
533	Solyc01g009800.1.1	0	0	0	1698
534	Solyc01g009820.2.1	0	0	0	1899
535	Solyc01g009850.2.1	0	0	0	228
536	Solyc01g009860.2.1	0	0	0	819
537	Solyc01g009900.2.1	0	0	0	363
538	Solyc01g009910.1.1	0	0	0	363
539	Solyc01g009970.2.1	0	0	0	1038
540	Solyc01g009990.2.1	0	0	0	747
541	Solyc01g010000.2.1	0	0	0	1350
542	Solyc01g010020.2.1	0	0	0	486
543	Solyc01g010030.2.1	0	0	0	2193
544	Solyc01g010040.2.1	0	0	0	453
545	Solyc01g010050.2.1	0	0	0	1095
546	Solyc01g010130.2.1	0	0	0	1614
547	Solyc01g010150.2.1	0	0	0	1347
548	Solyc01g010180.2.1	0	0	0	522
549	Solyc01g010190.2.1	0	0	0	651
550	Solyc01g010200.2.1	0	0	0	486
551	Solyc01g010210.1.1	0	0	0	558
552	Solyc01g010220.2.1	0	0	0	537
553	Solyc01g010250.2.1	0	0	0	801
554	Solyc01g010270.2.1	0	0	0	315
555	Solyc01g010290.2.1	0	0	0	1224
556	Solyc01g010310.2.1	0	0	0	570
557	Solyc01g010340.1.1	0	0	0	1440
558	Solyc01g010370.2.1	0	0	0	1851
559	Solyc01g010390.2.1	0	0	0	1524
560	Solyc01g010430.2.1	0	0	0	912
561	Solyc01g010440.2.1	0	0	0	1329
562	Solyc01g010460.2.1	0	0	0	1143
563	Solyc01g010470.2.1	0	0	0	558
564	Solyc01g010510.2.1	0	0	0	1791
565	Solyc01g010520.2.1	0	0	0	1077
566	Solyc01g010540.2.1	0	0	0	594
567	Solyc01g010570.2.1	0	0	0	945
568	Solyc01g010580.2.1	0	0	0	594
569	Solyc01g010590.2.1	0	0	0	687
570	Solyc01g010640.2.1	0	0	0	618
571	Solyc01g010650.2.1	0	0	0	1002
572	Solyc01g010660.2.1	0	0	0	1260
573	Solyc01g010680.1.1	0	0	0	927
574	Solyc01g010700.2.1	0	0	0	1335
575	Solyc01g010710.2.1	0	0	0	1473
576	Solyc01g010750.2.1	0	0	0	984
577	Solyc01g010760.2.1	0	0	0	831
578	Solyc01g010770.2.1	0	0	0	819
579	Solyc01g010780.2.1	0	0	0	1446
580	Solyc01g010810.2.1	0	1	1	612
581	Solyc01g010820.2.1	0	0	0	2205
582	Solyc01g010830.2.1	0	0	0	777
583	Solyc01g010860.2.1	0	0	0	801
584	Solyc01g010870.2.1	0	0	0	1824
585	Solyc01g010880.2.1	0	0	0	915
586	Solyc01g010910.1.1	0	0	0	1005
587	Solyc01g010920.1.1	0	0	0	513
588	Solyc01g010930.2.1	0	0	0	804
589	Solyc01g010940.2.1	0	0	0	651
590	Solyc01g010950.2.1	0	0	0	1293
591	Solyc01g010970.2.1	0	0	0	3003
592	Solyc01g010990.2.1	0	0	0	1092
593	Solyc01g011000.2.1	0	0	0	480
594	Solyc01g011020.1.1	0	0	0	159
595	Solyc01g011030.2.1	0	0	0	804
596	Solyc01g011040.2.1	0	0	0	996
597	Solyc01g011060.1.1	0	0	0	267
